address,points
0x7990bc43ac323b5566a8c4abd7cc3e8f5bf186c0,9
0xde2ca70e71829962a99a2552d826ac37e51882e7,1
0x81ebf134483d5580a4e7cf52b2798d22af1e9051,8
0x87e4241ea50bb6116c24126f721ebb77098f74ee,1
0x2fc132908decb8a98f7c3d679687ab3f1c3fb11c,5
0xac343fb5fd4d582efa60f6fda3854243a6b0d42e,2
0xc362756d13e9dcb2c59ddfc8dc260f100bceb9f4,2
0x7651d7fb9e300b61e7d2dc0f9106e3dc6f737dcf,4
0x2c1704a8d04aef444cad36c88775080b2cf3163f,10
0xbf02b15bf3eb7a3e59cc5b2c319c0291b5ebb6ed,2
0x745839754c638cce9089410390a61daf578b75d4,3
0x4285440f5cb3e812fd0120e92798f45c05b56578,2
0x33d608b9e24dd156c3a2ba6e3ecf3f52b20cabb5,1
0x0882b56c0c7c6d41d7dcec8874f4f68151c3e5d3,3
0x4eb610f9a964d23d58baa2928617941dfbf70847,1
0x19b9edb21b9283c81d42eb9447e6c657dfb85985,1
0x35cb5abd6d3b8911291b06477a61691faa407265,9
0x9e9c7e02d4240e85fe541b04a6caa80375fd2c7b,9
0xc5f4069a812b57682a9904d5b3e0140ee1025527,6
0xa031e40401961757a05d906b1cc346c2f42dd988,10
0x1a4abae1610ea319325a607d10f3a9abfe7f0481,3
0xabc0f9c82f3b6cd995a7752bc480d96b5e879827,2
0x37d2df799010436938d8d946f0eae8030ae75376,2
0x18ed0c7ef91adb5ccb744661e33440b21f76d711,1
0x130bb779751e7567b1258d0db3bf54165fef8e48,2
0x2824b3e7a5f46e4650a5c54f7d982a649af64942,2
0xcd20a7e2b158008735e81cbb016fc6e7427c8f80,2
0x3132e6c9a752232bbdc97f09a96ac6ac5b91fbfa,7
0x3fad848b00f675cccf3632a57afa4a0c8dca5eef,3
0x1ad9867def3109c1a92fabd9e9706dee8c4deb9e,3
0xc6f5affa134c740a6312018fe2c7987c5ec4167c,9
0x066d1669c8fe5ef659ed707b9ed37d57191a676c,3
0x512010df9b2bb933ced5d49e8eb843718847acc1,3
0x64653a0ec32aec2e3932b9f37c36ce8287e1cd0d,5
0xde55f4e5c349267c6fd0ee52cdc0f2b8ef04b77e,1
0x56a00daa8ec50ca867cb1c68601b96bf1a84c540,3
0xc2c96780b6d11153490f765bd1f80199af849d7a,2
0xa3146d11d727bdadcf0415d4231daee3459863d1,2
0x02df6b95af0af8b009ed58f18d612148977333e7,2
0x5c0390579c934b0dc380994ceeacb74ea736162b,3
0x195f93518c91c97424f9cdba1109a5581cfc6552,1
0x7a4756e51c4d966f74c3b7b73b374890d0ee3bb3,1
0xc7823a3a15d9b357b724d5d91fa4dfb3a5ec9836,4
0x1eb8878b5410ed936e4aa3f79617b846c1a19f68,3
0xc81edd553d2269da6c0356a86be5490278e82fa5,6
0x6a397ad6f38ad90765185bdd35331360072ed4e5,4
0x7eb08857e06572f9772e4e0cb0949baf02997eb8,6
0x5be168dfae441c13902fc802c47ce1e034fe0ec4,4
0xadf6e037e6631ff13c4c64ce3500989f1a7cc4cd,4
0x3ec2b6f33ab27c5ed705d81954c6c8e4d79ed365,6
0xaf2c640e485314f206c509bce21bbd6609b55bb9,4
0x0bc2aaeddb5fa37fdc397d4c00ef3a642c781724,3
0xba804a493458b3d865b9fa09b526423a4edb3864,1
0xb4f2136008643b99504298779b0c2bc6dad5d860,1
0xcd83a96b7b60b487d93b7d9a278531e2818d5abc,1
0x94942829a2be1eb253546942eecdd3c83a93f441,9
0x2c676af6d7e6e4ac4375c8928b495b7b28b284df,3
0x6d947ec1a4601fcabef27055ea6dc3133a61bb8c,2
0xf3722c803c92738bde8594e11283960dd2fb195b,4
0x4fdc6d45d4d3bbf57d4a541b9080b4e0fcb8a38d,1
0xc4cb88aeac03caabe4f36e76ed1d415383ec1635,2
0xe92b17138100d775fd223caa105296ae7ab8a6e7,1
0xd4cb3ba67b62a711d8c91f45db9b169a70e9ea1a,5
0x6a9f9bf5980b7b4cdb0a4ff117fbf17188d96642,1
0xfb92512df0813011e60af826dab8aa5197054874,1
0x09e11abf0ad406b58c1c22f5e8b303548bb0ce74,1
0x53d3f5d80fadc1e7b985fe1f3ec6b867941c5cc3,2
0x7b3f5b895a6a2c97ea77e8e2d4da8f8a282b370e,6
0xa204dda62d46a31d3b274804aad05425fb9d454a,1
0xc8731063fc694f9b6eafb39e3cb876aff5ebc909,4
0xdb5c91f7cf6e2dcb09998c7c803276d826ca25b8,3
0xed6e6d566fd81a25f47d4afdff767da961713f3b,4
0x303e322fd1d1428b1488d1f5687303e63da7873c,3
0x1d237da2044a75cb9f74cc2c72d00feb1cb7f550,3
0x09daef46dbc6ab6e129ed170996e7f40bef76379,1
0x43e2ec837a789fb39f13098bef24c72c27c28806,1
0x06f87582e8609d034c2dcc86c84939b3fab2c79c,5
0xa6533a003398168ad57cfe4a440cbecf420ba680,4
0x34d9cbb9c64a5779d6ccb896f7071cc3d7ef7c88,3
0x8a2e14391583668f314059a5f67c9c9f6eefa8bb,4
0x751598c84107a65cbfb1a1f3c4dd8caa97e3e3ce,6
0x16f7a13f2a0e85f9683c1f6d2ba5cb0616bd6ecc,1
0xd66217418cc56ac3ff2b87f049edcf7880a7fd47,11
0x32bb4abc1ef231dec9444d5c1b1511529ba21b56,4
0x2ea0e0405d4b93905c233fa72e9dbbb76a5f444b,2
0xf3a55a179479c766c5234d874bf0f3daf6bcbaa4,3
0xf83b8477e9e5bad3e637c1579ca5c4e4b5ebd844,8
0xd4e12ba6357b98266f869ce138b0c50de2a85171,8
0x0b6eab8f5a49630c27085649531ccdb82bb3f353,8
0x50021903084eb1222ed1df7eafc005d13adad7ef,8
0x0b8c3bf70ebf95f04046e488feb94241e715ece4,8
0x06548054dc9c87e70274705835390d287b071fe3,8
0xc2a32d4a15783fa216de0e5f8dcaf0b4d71ecf2e,8
0x0bd651cfb69dd7d10cb38061a572281836b1ff4f,8
0xbdd6ac7965a9742125aa3fba32be3eb2e51a2bc8,8
0x72db423361418cc07c516238240984664a5da0b4,7
0x9ec2a67123253edf8625016165d858efae8435b6,8
0x14b15bab33426e58af04c6d92713360452725da5,8
0x8bd4d137d62bfaa492cc7dad93b303108ba317e0,7
0x247d470b1e3b4682c381d2ae15bdba7b13b9c8d5,8
0x43ed219e7a0c6eae9f6a798d8cfe2ce60f8bd6c7,8
0x7fddd5250a020eb9389db0b1e0f701e79fedbd38,1
0x0af0bd4abaa62f80bfafe81ef963d46850e7943b,4
0x8295120778641ab2288429cf4ac484c42370007c,3
0x0ae1ecda76ed88c64b70eefbf4080e6b572513f1,1
0xec6a31412aeb209d138747ff5c3313260e670057,5
0xea26cf2a4abc2e0ea359a9fe820dcb20d460f536,4
0x5f8768f7ea237efcdddcaeb6b50735438ced711d,5
0x1fa9a0a079ac9e7cf4ef74c10d663116b5c360cd,2
0x749b6b0a14fd415fec980036f46553580cce1be0,2
0xd8a4a009c726e46e29a50a7412d64214f3d2a38a,3
0x35f56be06480503fa3bca3c5f96b511dc786e4d8,4
0xbf1261fc6a63281c2e158034120a84cd60c5588e,4
0xa7a66cc2c28d6645d0138abc00a0b648a50e4a13,3
0x823500afc1bc9013d0ff9e50de804590cb1bc801,3
0x272b00a82c5306cafb6442cd8420720aa1fe2276,3
0x0d1c41d60ef876b3244c9db50ea5c196ced8e07e,3
0x756df242aecc22ad73d6093ea0487ee21b0e3a9d,12
0x8163751177aef91e66f5a18c931f9ab02c5f14b1,10
0x0c902ba6f12f71de9528aea983dd4df3c73ec3f3,4
0x00c219a9b95155bae65af1e9fe3c7f159ede8194,4
0x290e48abc44f5faa7a393b954bb9d4b2b3d06ad4,9
0x5c5f90c4f766134f73793f19aeb51bd0bd536bf4,4
0xb9b88ef71944335262defb36ae5ef9de5a368406,4
0xeafde9ee7a07eff01c58056a863bdc9960304123,4
0xecd7375401c98a3183a2626b0c9f0ddc18310c87,8
0xb19d7d11a61a8726c74f895ddeb0fd6569671328,9
0x7160eb7ddf0ed36e7bc269ca08aebaab24419b28,1
0xc8a88b583494cbaa9367cc1281b66f09e40b76b7,5
0x7eb38f9addb9ec4b3e7e47bbe5741a2bcb9e1786,4
0x6741c6a719ccdcc469ad8d4a8d090e508d65e006,5
0x495200e805165747f8eb49f0aa47c4ae3257887a,6
0x9f9ac9bc65b6884ecd4cc3c5653b9b905011c126,4
0x9c9a2d9826b7c7e95d686e5714fb0ef948ebc6b8,2
0x360b956183457f40c49faa959c2af7afbab42f82,6
0x562492bcc2d7da66f63ce3058c8e1cae3fe4d2f1,4
0xf8e3eb190c2702b5e24ecaaa5476f25689e68bea,2
0x8e1c54eca6d1ead739208b5b30c496b36cc53a61,2
0xd0f172c83e982b13576e4af8a2ce68ae6c4ff032,1
0xf1aef7803b91c7ed8aa951b119010f78160e9d18,2
0xd710d4f2f3af2f16ce83b50d9d17fb3de6f6c444,3
0x2ac5698793edbd2cd8532c00ba8fee3dda5682c2,5
0xf2c0b7e8bd81794d5568d9503ee4e0c84ad222bd,4
0x1597b276e8799186c44d7f5f5e563b21939dca0b,2
0x59f1c33ebfa22403f3aca8f77f7e4c3a44e8fdb9,8
0xc0d671042f36c1482deef3a6d4f692085a7836de,6
0x6556fc8ac956775dc2221da661c4ee2312da5eb0,2
0x7d2d36a476917de7d66aebf5e5d597bb4dac6759,3
0xf875240f0a426562ce9271c750f99d7e10b7b7ef,3
0x2a2b509e1c3f2ac7d5f3b01d6d8bc4ac5d7e79de,1
0x83ca6e16db349f9e815509a3d3e99d9e8c758b3b,9
0xbeb94a8386f374b33fa2cea39e90a5c217465abf,1
0x5b9d0a9de7570e5330a47bcb2e1cf670730959dc,3
0x1a2ae733a835213c1d1efd2b696ae322e5b6535e,4
0x2952605e722762bb57090f51e0dab207d6927e54,1
0x58f5d7bc0202f6fada051ba0d1fb1d2721ff2389,1
0x55eed70a18f0f13c54d062f41fbf40801c24020b,1
0x22fefa53047c8fc4fd99c841f499ef8bf169052f,1
0x32a137e9ca45b8d0b5248e1b6463d5d078a73310,4
0xf1ef7be5c0810c9a5243adc63a49fc1b5724c903,3
0xb90b2203caae832ebed5e54642b82ef979051523,6
0x0022a3e9e71aaa6b7c8ebc16cc35f22ac64c9b58,1
0x523bc8764430f2f9f93ef320c6e08aec621a6d17,11
0xf38128d9fea4e9c3c2bbf970693b97626819a1e8,3
0xd1da10b2d10a7298f3caac34d192b8db400868ad,1
0xf13403e1a00d4e9b94b1502d7cca71069c793560,2
0xa9b088ab1b602f8d2caacaa6ed6938ab89fee963,2
0xe7bee0adad13fc80012a3db4d41d4ce7e1ff92ec,1
0x4107aa48beb63bc8e985b756153cd83cd098eeef,4
0xffc02aee7b4b21e17f378a6ae4283a665ca2bf42,1
0x69ea76292f8ac892f93d124650990b980326e8f0,1
0x49b4f4f17c950cd40ca4bd0f71d0d028b95210cb,3
0x95e3dddd5f0f7cfaf0507bbb13b284d095978407,1
0x41af69ed30e62a4e4bdacd5ce323178f9f5dc522,5
0xb67ed3a7b20465ad55219f8f77920b9ded8fbd27,1
0xaf5c8c56906a9705ea4d5b104e845baf09ee2bc8,1
0x7734f2ffe28ac9d7ba2788bbfe18cac24a09d31b,12
0xcb99444438b3f9944f5663153140f0f945023582,1
0x9e64508d3986be7c95796482d4890c9f1a93c27d,1
0x2ac94d659c7d716e7382feaf23237f24370c472f,1
0xa6503034bf9366061eb186e273035972b4a9f7a7,3
0x9f02fb1ef2e1c2c37e272939e8ec65b45f50d506,4
0x21cf10e47886ca7fdba5eedd96da4d51319939cd,5
0x2c618dfe9f80f57892366d665baf2bbfbc0db513,1
0xcded722cf57761c5d8e02459853b9af1ce282a4f,5
0xd3168a53f6bf603f63e422fce28c0fe61f57d012,1
0xd7a3845a460e9919ebbb3610e963fcafaab71999,5
0x2cf985879da74590e0a7b460a7f8fdaaf4b6941c,1
0x2ad3037aa19a528d6b76c13d4ff2edc17cb9da02,4
0x9924c8727d59fa695c10305c5b13c997e9e49872,3
0x316b3c3e4ae41a1a7c1a2a71d1631d824c7280a2,2
0x4b3c82e85a8e5d42f9159e72370f56c919b36045,5
0x6b2a80920c6b1121e720b93ea564622cf802175a,4
0x21b5e12ef41c8ebcbb74745b2284c1c6e896ee6f,4
0x71aeafc09e68fc0d98396cd1855ec14dc8741516,4
0x1fbee93b855f18e96acc82f750737a418a6d485e,4
0x2fbdd901a142f3bdf5e4b51c977c80463e704875,4
0x0a1b8a2f115ddd24412bee472b6fb511005e90b2,4
0x369100455904ae0b496af46ed2486c75509f87d9,9
0x7dd65ee10b47b84dc6bfd099ec97199844893474,4
0xc12a7d36862d4453aecb614950be57009ae91fa7,4
0x5e53905383a71abdb2c1b0dbef634bf8ca8e7144,4
0x24d36e35e5efdd694a09cbe01747299591181001,4
0xff8e33e22a5dcde2dc0b0f8e8e981934af32711e,5
0xd405116728dc891e05b1b7e2100f46d86c16bc88,4
0x0fc44120a742a51a36865fb32fa351d8affd3deb,3
0xb6ab1cade2728001c1b0f6add94d7242cd19eb77,4
0x751657c847b44d6e73c58d6a26ca0f3833b08c1b,4
0xa780b5d0396cc4190b5e8d6c03c390d4f376d39a,4
0x1dcded01a7e9d8b48b1da160576a333bfee65e69,4
0x322847dbc7894f2fa0b468c593c569629e33ca70,3
0x84bf36d631db69ef2f2192de8a5a3bc6cc355dee,4
0x6b27cf920193b8f64d533d4309a4e24b893ef9ac,4
0x3379c9fe587cce336974f32b6464889f3dfa7069,2
0xe1791149c627ac95eb2f6c3b3014d75c75350f61,4
0x993b9b84a2e0952bf4588e907e9124895442ab2b,4
0x34c2104dda45008f21eed78e255dbe961e05cecb,4
0xc7dd29cd6833308bc5de6f078dcd6dd3ac382046,4
0x114d4a7af2d36f84a25a566cbc0ea434d4815323,4
0xd2ae8630513e80edbd8247afd736d0a2501d5b2e,2
0x65328d2a9f8c0b6946aff6a9b2b763b37afbb148,4
0x8c446551fed96bc49ac6821526aeb12ad3b6b401,1
0x8bdd8ceee66e4882bdd20a6d2bfd751daae5f432,1
0xeecc9674d3600e3feb1b01b9ff7c72ac2e1c560f,7
0x828b9a95ab72a90e7208ae3efa568432648623eb,1
0x289477719eed978c16c6553ef1efb4ad7cc5361c,3
0x5a5e98ce1467e06e3a7dea019d21252da39f0a3b,4
0x7cf26bb18400726298830ceb93c6ab00c7dd5dbc,1
0xde26ee89019929511c0c94650ca4b6ae059f2633,1
0xcae49209c0164b5ec3c19eecf9b2935ee118f24c,3
0x15bddda3fe58590a33c8b053251084d3060bd42c,5
0x239c3ab9a2343790c4b3b77d436a138c96729cad,9
0x6b664b86db141effe61e44b44ad8ade7738d302f,6
0x41225847e1e44dda729e7c76be84d9a5a385e3d0,2
0xe1c44df7913bd78a94ea9d8244cd4eba43a77bc1,1
0xc01dd08e1a2b569d529a5c659104010103964222,1
0x890631e56ccca9c0f08c9919186f0dee4577985e,1
0xa7d6cf4904ede90c95536665547d1cee3e73d1e2,1
0x6c76708f0e52731d7b87e9037504f6d1c574a2a5,6
0x00482a63f8e7708eb212bd9f7cd15e4cf8b68618,5
0x73ab524557bbc3f98507a2856732f2caccf004a1,3
0xcf48cfdc4d52a142ea1818e1c871adaea283e425,3
0x9578c29daa762d6bc53572e91418dfc68572c56c,3
0x77f072f240538cf63c10316cbb0e705de335f087,2
0xabb5df5757c5d52bc2a4454f6e381e405bdf5e6a,4
0xc8483bba9f69bb24d64162202a7dc48c008a435d,6
0x71f46d926945feee7ce5e4dc49276f507d036b72,5
0x2b018b456a7d574d252dc03502548c1b2aadaede,1
0x4b48c397035be379f9e019e30e0207719f50fad5,1
0x3f41b2c4b8161047701701e15fcfaeb977c90f96,9
0xf4affaf1f9d03d0b97e99819b8d57f45332cf3af,3
0x1a0fc2547cb8713d977b24291cd63028badd2d1f,1
0x3ecd4eb2daf8bfc41ebb4b2c9ed4b372298d6ce9,1
0x5cc249a44947c00134c20508949e79916abdff47,1
0x1f668c30bda63814543aab67664a23108ffdc7b8,1
0x4b9c306cc94a0a420e4c018d946a0d22370eb46a,2
0x2fac21151fd48e9641b62c93498bdcf94a9e2d3a,3
0x2ee756f3e5384aee7b00eccd753f138e2e56f333,2
0xfa6cbf895fcaafe6902e033d09b5454c69c40fff,4
0x881f7ae68eb35b297f320964430475b6caef4fbc,1
0x11f4269ace76d6dc433a01c131c083d56d437fd5,4
0x9313956af3f22836c05658690e0a87a385c9fb0a,1
0x07a5114ba8957db92a8714a0f536b13c432b9fb7,2
0xd31a0281c382d6bcd5dfb344a5c0f8fb07dbc2f1,4
0x41a07147c4afbf780caca27868b483c71ac0f43d,1
0x48ffe0c3ca121f5b9f16aa5cdb0648c4307134da,3
0x69cdce5cc5ba17b57c9e6cb2f63801c0fa6e860b,1
0x98b833c4ec4464ee4c8ca452cadaa1159f60f2f0,12
0x214c8ece4233dc3c99366d68cfa0c3900a448706,4
0x47c812c598ab038b3a6c62eb0ef664579c13a368,4
0x58e2c3187a364ff7b00e3a7abbe84aafa03bd68f,1
0x6a0a546148af778e970912bf5f128807e68adab2,5
0x9fd65cf19594858b475408835a396e09d79d061e,3
0x4cd859d04493647f6326c8cd82e59c96c6522e11,1
0xf1961040f06024b861e9bca22a7d009c30285b79,1
0x4ea98dc8ac7f0e04a033cba55759e209a758f589,1
0xc7f3c0e1ef8747015dc69a67ccb25a7fb07f6fc5,5
0x97af8a2229fc8ecbb91a9e1870762c0d00f4a6ab,1
0x30bd3e8b2eef3cdd9c9ae60e50e2fa86b5208c12,1
0x9a1991e0ad7557ffbf4de03333e5e904f477e508,3
0xbb0b246f7f7c301da8484252e366b2349165e110,1
0x910e75edc091ff1e3a12ee000eb6f1982282d0d2,1
0x401d527cfc16a8e07b33f8a106052a17f98350a6,2
0xf97d7a5bfb9b9b5af0a9ed4f0f5932c2eaecd940,7
0xb526033f247891dae044cb2400a7c1f86bd1dc70,1
