address,points
0xae1bb5feb81fc426cae5814241261f65832d7107,12
0xb1629fc281c7c2eccd920b0c0cbf5b70380e3b2c,12
0x751598c84107a65cbfb1a1f3c4dd8caa97e3e3ce,14
0x3678e87f33d3fee52545911bff0b16f489c51b63,2
0xc5afc3a0f462c5a387393421b6a253204a3be8d2,1
0x8f9be4310f9abb0e5843cc6363908c9b01dfeb3f,1
0x551b807e76f4bd7be9b288e43e64f038d1d6d3b3,6
0x016ab2e4b2860eef7fabb712a98daf80f8178258,1
0x69822789210b8382b6c734e3bb96607c7027b0e6,1
0x9578c29daa762d6bc53572e91418dfc68572c56c,2
0xdc483901425b2ea6494eae01adb6565936e25124,2
0xacd8330385277dc1d071a1605e551f46c89113f7,2
0xdb93342558502d4f522e774eac55d71bff8e6130,11
0x22ff692421b38954790b9e2341cdbbc315489e3d,4
0x2efdbbce81f1540be40e41bf5dc6b101896e3087,12
0x2a9248e44cb56425979c880aa698cd75eb57f5eb,1
0x75037137e093d9b64564c08308d22fe81836e851,2
0xaf2ebd343d3b684cd7af31a4da4c299ad999c41e,2
0x77b74061f1279779cfb509a52623f79ead815e44,2
0x5da3a4a7e6746d63c0fbb28b114abf7abd61892f,2
0x5b7e35a4a5cad5aedea14e16d031028f22b11079,1
0xbb8309bacae4394bd8a1b3d99091080290f3c86e,1
0x7ee3a80aa2ee327a35dee2167d17e3a23cb5e1ac,1
0x4d50405d5b771f805a999d726df865d6cb210b76,1
0x06b3567747913e158d34115cc3d1377c6fc4d151,1
0x801103746708c03342e2107768242d596f0dc48b,2
0x5532495b764ed3a2244d4325e8baf69e5f6e0ba4,3
0xdd218470b46496f3dfb2c63cadcc14dce3bb9030,2
0x088bfdd35efabf6f52bd026aee24f3b0bd352e08,2
0xa837de72389bdc2a4c347916e9f55384d483b871,2
0x7c00941edebc80112fbb88935df0f8aaeef666e0,1
0xf80382262efe7b4fb4abf18032505f15a9dbbd7b,2
0x84c325950abef30538137f3d8febcbf72bcd9b2e,2
0x9e4e943335e31c9ff9e3d5f29c3fd4afbee540b2,2
0x03afed01b3c3f2e4b87a2366987683d11e8d6612,1
0x2ebbbf8094fbe113e0fc0e7ab3e4940dc578f8bf,1
0x01e84d6ef40c26403da6fa6fbecfe82674ff1cfa,4
0xc8c878d8defc212bc615e50e4ee6327525682c8a,1
0xb4fd79e333bc554a015f9178168cd5e487f6aecc,2
0x70bc7d78c6ed5d2c1e6054c7f6f4277adf231d70,2
0x950c5d9bf9061853403fc38bde5aedd32db7fcc6,6
0x832be15f0d3074f658ebf4bd5c5e6920bbc27292,1
0xa8ff253309dc85fffe927640b12a7d478b5a30c4,1
0x912cf8c941a59a2cca76b001279af14d872d9edc,4
0x60c2ff6eabafbe84c64105b455c3c5221f549226,2
0x31cf81794a31f75db5e8a16261fc67b2201cf00f,2
0x3759fd66d017c67d550f6f3df37bd47c76fe1f31,2
0xbaa9e870c24609e9099724697fa5f198a0f155f0,2
0xca63d470af564b5db469496b1f4dcc0c43f981da,2
0x84d7b59c75123aed485c50fb6684a4a47dedc4ff,6
0x52a79d6f479f1c8a32473cde71e00b4f37494293,1
0x9df7e370e01ec124bb368113325588cb2cff665c,1
0x2ee6175ebcad2cc75315b1a910e4196fd86aff71,1
0x776bc31bf512dee7ac2fe2cc6fed177a59bba894,2
0x158e61a181959844d6ac426a2a50eec065b3a943,1
0x461bed1c0962cbcc4484be93030a0ea54be6d733,1
0x96e5638b4c36de5270ce2f1e9fe232f80bcbab1f,6
0x265339125278da38a9d8273090124beeac9af588,3
0x3dc5a9ef2b39e6852580db3bcd7909eb5e608359,1
0x51928e9af48695336464bac27d6be27f47286cf9,2
